,Mean pixel diff,Class,Model,Layer
0,0.04268217086791992,0,BPTT,3
1,0.011341273784637451,1,BPTT,3
2,0.02827697992324829,2,BPTT,3
3,0.0370478630065918,3,BPTT,3
4,0.023615002632141113,4,BPTT,3
5,0.04767894744873047,5,BPTT,3
6,0.02002769708633423,6,BPTT,3
7,0.03157836198806763,7,BPTT,3
8,0.01956993341445923,8,BPTT,3
9,0.03487992286682129,9,BPTT,3
10,0.025600314140319824,0,FPTT,3
11,0.023264408111572266,1,FPTT,3
12,0.01884758472442627,2,FPTT,3
13,0.03863382339477539,3,FPTT,3
14,0.011965930461883545,4,FPTT,3
15,0.016096889972686768,5,FPTT,3
16,0.009744465351104736,6,FPTT,3
17,0.018892526626586914,7,FPTT,3
18,0.007868528366088867,8,FPTT,3
19,0.020779550075531006,9,FPTT,3
